"tm","ECG","CVP"
0.911,-0.325,11.703
0.914,-0.326,11.155
0.917,-0.321,10.608
0.919,-0.313,10.01
0.922,-0.305,9.412
0.925,-0.304,8.865
0.928,-0.307,8.367
0.931,-0.31,7.918
0.933,-0.307,7.47
0.936,-0.297,7.022
0.939,-0.289,6.624
0.942,-0.287,6.175
0.944,-0.291,5.827
0.947,-0.293,5.428
0.95,-0.29,5.03
0.953,-0.284,4.532
0.956,-0.279,4.034
0.958,-0.278,3.635
0.961,-0.28,3.287
0.964,-0.28,3.038
0.967,-0.274,2.739
0.969,-0.266,2.39
0.972,-0.262,2.092
0.975,-0.265,1.743
0.978,-0.267,1.444
0.981,-0.266,1.145
0.983,-0.265,0.797
0.986,-0.264,0.398
0.989,-0.261,0.05
0.992,-0.257,-0.199
0.994,-0.258,-0.398
0.997,-0.262,-0.647
1,-0.262,-0.946
1.003,-0.259,-1.195
1.006,-0.255,-1.394
1.008,-0.253,-1.594
1.011,-0.256,-1.793
1.014,-0.261,-1.992
1.017,-0.265,-2.141
1.019,-0.262,-2.241
1.022,-0.258,-2.291
1.025,-0.259,-2.39
1.028,-0.268,-2.49
1.031,-0.277,-2.54
1.033,-0.281,-2.59
1.036,-0.283,-2.59
1.039,-0.288,-2.59
1.042,-0.292,-2.54
1.044,-0.296,-2.54
1.047,-0.3,-2.49
1.05,-0.302,-2.39
1.053,-0.304,-2.291
1.056,-0.307,-2.291
1.058,-0.315,-2.341
1.061,-0.324,-2.341
1.064,-0.327,-2.241
1.067,-0.327,-1.992
1.069,-0.329,-1.843
1.072,-0.333,-1.793
1.075,-0.337,-1.743
1.078,-0.342,-1.693
1.081,-0.347,-1.643
1.083,-0.351,-1.494
1.086,-0.351,-1.345
1.089,-0.35,-1.245
1.092,-0.355,-1.195
1.094,-0.363,-1.145
1.097,-0.368,-1.096
1.1,-0.367,-0.996
1.103,-0.364,-0.946
1.106,-0.363,-0.946
1.108,-0.363,-0.896
1.111,-0.363,-0.747
1.114,-0.364,-0.548
1.117,-0.363,-0.398
1.119,-0.357,-0.349
1.122,-0.353,-0.349
1.125,-0.356,-0.249
1.128,-0.362,-0.149
1.131,-0.363,0.05
1.133,-0.357,0.149
1.136,-0.352,0.149
1.139,-0.347,0.05
1.142,-0.343,0.05
1.144,-0.343,0.1
1.147,-0.345,0.199
1.15,-0.34,0.349
1.153,-0.326,0.498
1.156,-0.315,0.647
1.158,-0.313,0.797
1.161,-0.315,0.896
1.164,-0.315,0.847
1.167,-0.31,0.747
1.169,-0.305,0.747
1.172,-0.298,0.896
1.175,-0.289,1.195
1.178,-0.281,1.494
1.181,-0.274,1.843
1.183,-0.269,2.092
1.186,-0.265,2.141
1.189,-0.26,2.141
1.192,-0.256,2.191
1.194,-0.252,2.241
1.197,-0.249,2.39
1.2,-0.24,2.59
1.203,-0.226,2.739
1.206,-0.216,2.839
1.208,-0.214,2.988
1.211,-0.213,3.038
1.214,-0.209,3.088
1.217,-0.202,3.038
1.219,-0.195,2.938
1.222,-0.188,2.839
1.225,-0.185,2.789
1.228,-0.183,2.739
1.231,-0.177,2.689
1.233,-0.166,2.59
1.236,-0.156,2.49
1.239,-0.151,2.291
1.242,-0.147,2.092
1.244,-0.141,1.942
1.247,-0.133,1.843
1.25,-0.128,1.693
1.253,-0.123,1.444
1.256,-0.118,1.295
1.258,-0.113,1.145
1.261,-0.111,0.996
1.264,-0.11,0.847
1.267,-0.105,0.747
1.269,-0.097,0.697
1.272,-0.091,0.647
1.275,-0.092,0.598
1.278,-0.094,0.548
1.281,-0.089,0.548
1.283,-0.077,0.598
1.286,-0.069,0.647
1.289,-0.065,0.647
1.292,-0.06,0.647
1.294,-0.055,0.647
1.297,-0.053,0.697
1.3,-0.052,0.747
1.303,-0.045,0.747
1.306,-0.035,0.747
1.308,-0.031,0.797
1.311,-0.034,0.847
1.314,-0.033,0.896
1.317,-0.025,0.996
1.319,-0.015,0.996
1.322,-0.01,0.996
1.325,-0.013,0.946
1.328,-0.02,0.946
1.331,-0.022,0.996
1.333,-0.017,1.096
1.336,-0.01,1.145
1.339,-0.009,1.096
1.342,-0.011,0.996
1.344,-0.009,0.946
1.347,-0.004,0.946
1.35,-0.003,0.946
1.353,-0.005,0.896
1.356,-0.004,0.847
1.358,-0.003,0.747
1.361,-0.003,0.598
1.364,-0.003,0.598
1.367,-0.002,0.647
1.369,0.003,0.647
1.372,0.007,0.498
1.375,0.008,0.398
1.378,0.007,0.398
1.381,0.007,0.398
1.383,0.011,0.349
1.386,0.017,0.249
1.389,0.02,0.199
1.392,0.022,0.199
1.394,0.021,0.199
1.397,0.019,0.149
1.4,0.021,0.199
1.403,0.027,0.199
1.406,0.034,0.199
1.408,0.031,0.149
1.411,0.023,0.199
1.414,0.02,0.249
1.417,0.028,0.249
1.419,0.039,0.249
1.422,0.041,0.299
1.425,0.035,0.299
1.428,0.03,0.398
1.431,0.033,0.498
1.433,0.039,0.598
1.436,0.038,0.598
1.439,0.031,0.697
1.442,0.027,0.797
1.444,0.029,0.797
1.447,0.031,0.747
1.45,0.029,0.747
1.453,0.028,0.747
1.456,0.031,0.797
1.458,0.033,0.847
1.461,0.03,0.896
1.464,0.026,0.946
1.467,0.029,0.996
1.469,0.036,0.996
1.472,0.038,1.046
1.475,0.032,1.046
1.478,0.025,1.046
1.481,0.024,1.046
1.483,0.027,0.996
1.486,0.031,0.946
1.489,0.03,0.996
1.492,0.026,1.046
1.494,0.026,1.046
1.497,0.031,0.996
1.5,0.034,0.996
1.503,0.036,0.896
1.506,0.039,0.847
1.508,0.039,0.896
1.511,0.037,0.946
1.514,0.04,0.896
1.517,0.05,0.797
1.519,0.063,0.747
1.522,0.073,0.747
1.525,0.081,0.747
1.528,0.094,0.847
1.531,0.104,0.847
1.533,0.113,0.847
1.536,0.121,0.747
1.539,0.131,0.697
1.542,0.139,0.747
1.544,0.147,0.847
1.547,0.159,0.946
1.55,0.171,1.096
1.553,0.169,1.195
1.556,0.158,1.295
1.558,0.153,1.345
1.561,0.157,1.444
1.564,0.157,1.544
1.567,0.151,1.693
1.569,0.151,1.793
1.572,0.163,1.892
1.575,0.181,2.042
1.578,0.191,2.241
1.581,0.191,2.44
1.583,0.19,2.54
1.586,0.196,2.639
1.589,0.201,2.789
1.592,0.195,3.088
1.594,0.183,3.287
1.597,0.18,3.436
1.6,0.187,3.536
1.603,0.19,3.635
1.606,0.18,3.835
1.608,0.166,4.084
1.611,0.163,4.333
1.614,0.166,4.482
1.617,0.161,4.631
1.619,0.143,4.781
1.622,0.118,4.98
1.625,0.091,5.129
1.628,0.062,5.279
1.631,0.034,5.329
1.633,0.018,5.428
1.636,0.02,5.578
1.639,0.03,5.677
1.642,0.036,5.727
1.644,0.035,5.777
1.647,0.031,5.827
1.65,0.031,5.777
1.653,0.033,5.727
1.656,0.036,5.727
1.658,0.033,5.727
1.661,0.022,5.777
1.664,0.011,5.777
1.667,0.009,5.827
1.669,0.012,5.827
1.672,0.012,5.727
1.675,0.009,5.627
1.678,0.008,5.627
1.681,0.012,5.627
1.683,0.016,5.627
1.686,0.018,5.627
1.689,0.018,5.578
1.692,0.014,5.578
1.694,0.008,5.578
1.697,0.008,5.677
1.7,0.014,5.727
1.703,0.017,5.727
1.706,0.016,5.677
1.708,0.012,5.677
1.711,0.012,5.727
1.714,0.014,5.876
1.717,0.017,5.976
1.719,0.017,5.976
1.722,0.013,6.026
1.725,0.01,6.125
1.728,0.011,6.175
1.731,0.014,6.275
1.733,0.019,6.424
1.736,0.024,6.524
1.739,0.024,6.574
1.742,0.019,6.673
1.744,0.015,6.873
1.747,0.019,7.022
1.75,0.026,7.122
1.753,0.026,7.171
1.756,0.022,7.271
1.758,0.02,7.371
1.761,0.022,7.371
1.764,0.025,7.371
1.767,0.026,7.371
1.769,0.026,7.321
1.772,0.03,7.321
1.775,0.031,7.271
1.778,0.03,7.221
1.781,0.03,7.022
1.783,0.035,6.823
1.786,0.038,6.574
1.789,0.035,6.325
1.792,0.031,6.175
1.794,0.031,6.026
1.797,0.034,5.777
1.8,0.036,5.378
1.803,0.038,5.03
1.806,0.042,4.731
1.808,0.044,4.532
1.811,0.041,4.283
1.814,0.04,3.984
1.817,0.045,3.785
1.819,0.049,3.586
1.822,0.048,3.337
1.825,0.046,3.137
1.828,0.046,2.938
1.831,0.05,2.689
1.833,0.057,2.49
1.836,0.062,2.291
1.839,0.062,2.092
1.842,0.056,1.992
1.844,0.052,1.942
1.847,0.054,1.843
1.85,0.058,1.643
1.853,0.058,1.494
1.856,0.055,1.394
1.858,0.054,1.345
1.861,0.055,1.295
1.864,0.055,1.195
1.867,0.055,1.046
1.869,0.057,0.996
1.872,0.058,0.946
1.875,0.056,0.946
1.878,0.055,0.847
1.881,0.057,0.797
1.883,0.063,0.747
1.886,0.065,0.797
1.889,0.064,0.747
1.892,0.06,0.797
1.894,0.058,0.847
1.897,0.06,0.847
1.9,0.062,0.847
1.903,0.063,0.896
1.906,0.063,0.996
1.908,0.064,1.096
1.911,0.065,1.145
1.914,0.068,1.145
1.917,0.07,1.245
1.919,0.071,1.295
1.922,0.071,1.345
1.925,0.071,1.494
1.928,0.071,1.643
1.931,0.075,1.693
1.933,0.079,1.643
1.936,0.08,1.693
1.939,0.079,1.793
1.942,0.075,1.843
1.944,0.072,1.892
1.947,0.073,1.892
1.95,0.079,1.942
1.953,0.084,1.992
1.956,0.081,2.042
1.958,0.074,2.092
1.961,0.071,2.141
1.964,0.075,2.141
1.967,0.082,2.191
1.969,0.084,2.241
1.972,0.083,2.341
1.975,0.082,2.341
1.978,0.082,2.341
1.981,0.085,2.341
1.983,0.089,2.44
1.986,0.091,2.59
1.989,0.089,2.689
1.992,0.084,2.789
1.994,0.085,2.888
1.997,0.089,3.038
2,0.094,3.088
2.003,0.095,3.137
2.006,0.094,3.237
2.008,0.092,3.287
2.011,0.091,3.386
2.014,0.094,3.486
2.017,0.1,3.536
2.019,0.104,3.586
2.022,0.103,3.685
2.025,0.099,3.785
2.028,0.095,3.884
2.031,0.096,3.934
2.033,0.099,3.984
2.036,0.099,3.984
2.039,0.098,4.034
2.042,0.098,4.133
2.044,0.099,4.233
2.047,0.102,4.233
2.05,0.105,4.183
2.053,0.107,4.183
2.056,0.106,4.183
2.058,0.104,4.283
2.061,0.103,4.283
2.064,0.103,4.233
2.067,0.108,4.183
2.069,0.11,4.183
2.072,0.11,4.233
2.075,0.108,4.283
2.078,0.108,4.233
2.081,0.112,4.183
2.083,0.114,4.133
2.086,0.113,4.133
2.089,0.108,4.133
2.092,0.103,4.133
2.094,0.102,4.084
2.097,0.103,3.984
2.1,0.109,3.934
2.103,0.113,3.934
2.106,0.109,3.884
2.108,0.102,3.934
2.111,0.099,3.884
2.114,0.103,3.884
2.117,0.113,3.835
2.119,0.118,3.735
2.122,0.115,3.685
2.125,0.106,3.635
2.128,0.099,3.635
2.131,0.105,3.536
2.133,0.118,3.386
2.136,0.127,3.337
2.139,0.124,3.287
2.142,0.118,3.287
2.144,0.12,3.337
2.147,0.129,3.386
2.15,0.143,3.386
2.153,0.166,3.337
2.156,0.202,3.337
2.158,0.248,3.386
2.161,0.304,3.436
2.164,0.366,3.486
2.167,0.42,3.536
2.169,0.447,3.685
2.172,0.456,3.835
2.175,0.484,3.934
2.178,0.576,3.984
2.181,0.743,4.034
2.183,0.966,4.133
2.186,1.222,4.233
2.189,1.489,4.432
2.192,1.73,4.631
2.194,1.863,4.681
2.197,1.792,4.731
2.2,1.507,4.681
2.203,1.107,4.631
2.206,0.714,4.631
2.208,0.364,4.681
2.211,0.031,4.681
2.214,-0.262,4.681
2.217,-0.457,4.631
2.219,-0.54,4.482
2.222,-0.565,4.333
2.225,-0.574,4.283
2.228,-0.569,4.333
2.231,-0.55,4.283
2.233,-0.532,4.233
2.236,-0.512,4.084
2.239,-0.479,4.034
2.242,-0.44,3.934
2.244,-0.411,3.835
2.247,-0.392,3.835
2.25,-0.365,3.884
2.253,-0.325,3.884
2.256,-0.284,3.785
2.258,-0.25,3.835
2.261,-0.222,3.934
2.264,-0.195,4.084
2.267,-0.171,4.133
2.269,-0.156,4.133
2.272,-0.158,4.133
2.275,-0.167,4.183
2.278,-0.166,4.233
2.281,-0.157,4.283
2.283,-0.151,4.283
2.286,-0.151,4.283
2.289,-0.153,4.233
2.292,-0.16,4.233
2.294,-0.167,4.233
2.297,-0.165,4.283
2.3,-0.152,4.333
2.303,-0.145,4.333
2.306,-0.146,4.283
2.308,-0.144,4.183
2.311,-0.138,4.133
2.314,-0.131,4.084
2.317,-0.115,3.934
2.319,-0.094,3.884
2.322,-0.087,3.934
2.325,-0.094,3.934
2.328,-0.084,3.785
2.331,-0.058,3.586
2.333,-0.06,3.386
2.336,-0.095,3.237
2.339,-0.106,3.038
2.342,-0.066,2.839
2.344,-0.028,2.59
2.347,-0.031,2.341
2.35,-0.046,2.092
2.353,-0.036,1.793
2.356,-0.025,1.544
2.358,-0.036,1.345
2.361,-0.055,1.145
2.364,-0.051,0.946
2.367,-0.03,0.797
2.369,-0.012,0.697
2.372,-0.008,0.747
2.375,-0.019,0.797
2.378,-0.027,0.896
2.381,-0.019,0.996
2.383,-0.001,1.145
2.386,0.004,1.345
2.389,-0.007,1.594
2.392,-0.012,1.892
2.394,-0.002,2.191
2.397,0.004,2.49
2.4,0,2.789
2.403,-0.007,3.187
2.406,-0.011,3.635
2.408,-0.015,4.084
2.411,-0.025,4.681
2.414,-0.036,5.279
2.417,-0.047,5.777
2.419,-0.068,6.225
2.422,-0.101,6.723
2.425,-0.13,7.271
2.428,-0.142,7.869
2.431,-0.138,8.466
2.433,-0.13,8.964
2.436,-0.127,9.412
2.439,-0.132,9.761
2.442,-0.14,10.209
2.444,-0.152,10.757
2.447,-0.162,11.205
2.45,-0.163,11.554
2.453,-0.157,11.902
2.456,-0.156,12.301
2.458,-0.163,12.6
2.461,-0.168,12.948
2.464,-0.167,13.247
2.467,-0.167,13.446
2.469,-0.171,13.645
2.472,-0.177,13.845
2.475,-0.179,14.044
2.478,-0.179,14.193
2.481,-0.178,14.293
2.483,-0.18,14.442
2.486,-0.185,14.592
2.489,-0.189,14.741
2.492,-0.192,14.791
2.494,-0.195,14.841
2.497,-0.198,14.841
2.5,-0.201,14.841
2.503,-0.207,14.89
2.506,-0.216,14.99
2.508,-0.225,15.139
2.511,-0.228,15.189
2.514,-0.228,15.139
2.517,-0.228,15.04
2.519,-0.237,15.04
2.522,-0.246,15.139
2.525,-0.253,15.189
2.528,-0.258,15.09
2.531,-0.263,14.99
2.533,-0.268,14.99
2.536,-0.274,15.04
2.539,-0.282,15.04
2.542,-0.291,14.89
2.544,-0.295,14.791
2.547,-0.296,14.691
2.55,-0.297,14.542
2.553,-0.304,14.293
2.556,-0.31,14.044
2.558,-0.315,13.745
2.561,-0.316,13.396
2.564,-0.317,12.898
2.567,-0.319,12.351
2.569,-0.323,11.803
2.572,-0.329,11.255
2.575,-0.331,10.608
2.578,-0.33,9.96
2.581,-0.326,9.313
2.583,-0.325,8.665
2.586,-0.326,8.018
2.589,-0.329,7.42
2.592,-0.332,6.873
2.594,-0.33,6.325
2.597,-0.322,5.727
2.6,-0.313,5.08
2.603,-0.309,4.532
2.606,-0.31,4.084
2.608,-0.308,3.635
