sin,cos,sin,tan
0.998736957,-0.050244318,0.998736957,-19.8776099
0.99840155,-0.056518534,0.99840155,-17.66502899
0.998026728,-0.06279052,0.998026728,-15.89454484
0.997612506,-0.069060026,0.997612506,-14.4455855
0.9971589,-0.075326806,0.9971589,-13.23776965
0.996665928,-0.081590612,0.996665928,-12.21544868
0.996133609,-0.087851197,0.996133609,-11.33887355
0.995561965,-0.094108313,0.995561965,-10.57889499
0.994951017,-0.100361715,0.994951017,-9.913651022
0.99430079,-0.106611154,0.99430079,-9.326423648
0.993611311,-0.112856385,0.993611311,-8.804209985
0.992882605,-0.11909716,0.992882605,-8.336744586
0.992114701,-0.125333234,0.992114701,-7.915815088
0.991307631,-0.131564359,0.991307631,-7.534773383
0.990461426,-0.137790291,0.990461426,-7.188180102
0.989576119,-0.144010783,0.989576119,-6.871541846
0.988651745,-0.150225589,0.988651745,-6.581114113
0.987688341,-0.156434465,0.987688341,-6.313751515
0.986685944,-0.162637165,0.986685944,-6.066792563
0.985644595,-0.168833445,0.985644595,-5.837970059
0.984564335,-0.175023059,0.984564335,-5.625340685
0.983445205,-0.181205764,0.983445205,-5.427229164
0.982287251,-0.187381315,0.982287251,-5.242183581
0.981090517,-0.193549468,0.981090517,-5.068939364
0.979855052,-0.199709981,0.979855052,-4.906390005
0.978580904,-0.205862609,0.978580904,-4.753563118
0.977268124,-0.21200711,0.977268124,-4.609600706
0.975916762,-0.218143241,0.975916762,-4.473742829
0.974526873,-0.224270761,0.974526873,-4.34531398
0.973098511,-0.230389427,0.973098511,-4.223711674
0.971631733,-0.236498997,0.971631733,-4.108396844
0.970126596,-0.242599231,0.970126596,-3.998885707
0.968583161,-0.248689887,0.968583161,-3.894742855
0.967001488,-0.254770726,0.967001488,-3.795575356
0.965381639,-0.260841506,0.965381639,-3.701027695
0.963723678,-0.266901989,0.963723678,-3.610777427
0.962027672,-0.272951936,0.962027672,-3.524531415
0.960293686,-0.278991106,0.960293686,-3.442022577
0.958521789,-0.285019262,0.958521789,-3.36300705
0.956712052,-0.291036167,0.956712052,-3.287261724
0.954864545,-0.297041582,0.954864545,-3.214582079
0.952979342,-0.30303527,0.952979342,-3.144780285
0.951056516,-0.309016994,0.951056516,-3.077683537
0.949096145,-0.31498652,0.949096145,-3.013132581
0.947098305,-0.32094361,0.947098305,-2.950980409
0.945063075,-0.32688803,0.945063075,-2.891091106
0.942990536,-0.332819545,0.942990536,-2.833338821
0.940880769,-0.33873792,0.940880769,-2.777606854
0.938733858,-0.344642923,0.938733858,-2.723786837
0.936549887,-0.35053432,0.936549887,-2.671778005
0.934328942,-0.356411879,0.934328942,-2.621486539
0.932071112,-0.362275367,0.932071112,-2.572824978
0.929776486,-0.368124553,0.929776486,-2.525711689
0.927445153,-0.373959206,0.927445153,-2.48007039
0.925077207,-0.379779096,0.925077207,-2.435829717
0.92267274,-0.385583992,0.92267274,-2.392922835
0.920231847,-0.391373667,0.920231847,-2.351287083
0.917754626,-0.397147891,0.917754626,-2.310863654
0.915241173,-0.402906436,0.915241173,-2.271597303
0.912691587,-0.408649075,0.912691587,-2.23343608
0.910105971,-0.414375581,0.910105971,-2.196331088
0.907484425,-0.420085728,0.907484425,-2.160236264
0.904827052,-0.425779292,0.904827052,-2.125108173
0.902133959,-0.431456046,0.902133959,-2.090905826
0.899405252,-0.437115767,0.899405252,-2.057590506
0.896641037,-0.442758231,0.896641037,-2.025125619
0.893841424,-0.448383216,0.893841424,-1.993476544
0.891006524,-0.4539905,0.891006524,-1.962610506
0.888136449,-0.459579861,0.888136449,-1.932496449
0.885231311,-0.465151078,0.885231311,-1.903104933
0.882291226,-0.470703932,0.882291226,-1.874408022
